Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2000-01-03,14.739733695983887,14.739733695983887,15.147692631011118,14.721996350982701,15.138823958510525,140500
2000-01-04,14.597827911376953,14.597827911376953,14.784069944268154,14.535747233746553,14.75746393956941,258000
2000-01-05,15.200905799865723,15.200905799865723,15.218643146189955,14.61557337116611,14.76634081492207,102700
2000-01-06,15.591126441955566,15.591126441955566,15.741893876263443,15.20090484727636,15.209773519882706,1335000
2000-01-07,15.582254409790039,15.582254409790039,15.857183201311662,15.582254409790039,15.750759152980711,620100
2000-01-10,15.529040336608887,15.529040336608887,15.724151066137953,15.404878963272209,15.724151066137953,171200
2000-01-11,15.342801094055176,15.342801094055176,15.466962490192039,15.227508369070947,15.404881792123609,39700
2000-01-12,15.121089935302734,15.121089935302734,15.342806796524183,15.10335258640502,15.10335258640502,135300
2000-01-13,15.183158874511719,15.183158874511719,15.307320220448146,15.112209533976618,15.262976882613708,45900
2000-01-14,15.076740264892578,15.076740264892578,15.165426972333123,15.005790898940141,15.050134252660413,76000
2000-01-18,14.713122367858887,14.713122367858887,14.93483910034621,14.58009232836649,14.881627084549253,34400
2000-01-19,14.429329872131348,14.429329872131348,14.730864731167896,14.429329872131348,14.633309335597248,125700
2000-01-20,14.047975540161133,14.047975540161133,14.580095825773297,14.047975540161133,14.580095825773297,99400
2000-01-21,14.110053062438965,14.110053062438965,14.260820442741581,13.941548343277217,14.260820442741581,180100
2000-01-24,13.737566947937012,13.737566947937012,14.056839000955561,13.54245624887012,14.056839000955561,190900
2000-01-25,13.480380058288574,13.480380058288574,13.764177533199911,13.276400623196048,13.684359493381098,63400
2000-01-26,13.480380058288574,13.480380058288574,13.843995573018725,13.480380058288574,13.604541453562284,300700
2000-01-27,13.551331520080566,13.551331520080566,13.719836296835496,13.48038214039428,13.622280899766853,54300
2000-01-28,13.320738792419434,13.320738792419434,13.542455483371821,12.965992086895614,13.533586815733726,29400
2000-01-31,13.240924835205078,13.240924835205078,13.267530846260414,13.116763450280182,13.196581483446188,16300
2000-02-01,13.480380058288574,13.480380058288574,13.551329427016409,13.240925938832131,13.240925938832131,42700
2000-02-02,13.542459487915039,13.542459487915039,13.551328158175624,13.373954752963902,13.551328158175624,49000
2000-02-03,13.311870574951172,13.311870574951172,13.61340528484347,13.232052563509093,13.61340528484347,183800
2000-02-04,13.294129371643066,13.294129371643066,13.400553355939076,13.21431138342106,13.400553355939076,105000
2000-02-07,13.036943435668945,13.036943435668945,13.365084188811633,13.028074766665087,13.365084188811633,49100
2000-02-08,13.001470565795898,13.001470565795898,13.214318651456951,12.912783863437127,13.054682587211161,134700
2000-02-09,12.744278907775879,12.744278907775879,13.063551030726423,12.744278907775879,12.992601670070746,33500
2000-02-10,12.637849807739258,12.637849807739258,12.77087980571546,12.540294475890041,12.77087980571546,131100
2000-02-11,12.3274507522583,12.3274507522583,12.735409554131596,12.185552038563241,12.602379510042478,24300
2000-02-14,12.531432151794434,12.531432151794434,12.628987533018595,12.283109363223844,12.487088796692543,24100
2000-02-15,13.072422981262207,13.072422981262207,13.072422981262207,12.495959281274388,12.575777332041932,32600
2000-02-16,12.77088737487793,12.77088737487793,13.090159559249877,12.7442813595136,13.054684872097438,17400
2000-02-17,12.744278907775879,12.744278907775879,13.036945020480545,12.708804227448042,12.91278363933311,45700
2000-02-18,12.354060173034668,12.354060173034668,12.815231119910335,12.327454156868765,12.815231119910335,90500
2000-02-22,12.744278907775879,12.744278907775879,12.841834278677434,12.389532104497498,12.558036836054729,48900
2000-02-23,12.602380752563477,12.602380752563477,12.797491503130962,12.495956706799394,12.75314815072926,56300
2000-02-24,12.150084495544434,12.150084495544434,12.469356788858011,11.990448348887647,12.469356788858011,18800
2000-02-25,11.95496940612793,11.95496940612793,12.185554869450872,11.919494719462861,12.185554869450872,24900
2000-02-28,11.990442276000977,11.990442276000977,12.22102770438561,11.821937539873744,11.919492913421088,199600
2000-02-29,11.91062068939209,11.91062068939209,12.087994042919894,11.786459341922626,12.034782036861552,29100
2000-03-01,11.786458969116211,11.786458969116211,12.052518990992423,11.680034960365726,12.052518990992423,119700
2000-03-02,11.529272079467773,11.529272079467773,11.77759486271785,11.440585371164175,11.77759486271785,184000
2000-03-03,11.90175724029541,11.90175724029541,12.221029416637164,11.635697093343948,11.635697093343948,162400
2000-03-06,11.617958068847656,11.617958068847656,12.008179561236432,11.493796684905773,12.008179561236432,20900
2000-03-07,11.245474815368652,11.245474815368652,11.68890836487057,11.2100001314085,11.680039693880532,198400
2000-03-08,11.484930038452148,11.484930038452148,11.520404725829607,11.174526523899388,11.245475898654306,112600
2000-03-09,11.467196464538574,11.467196464538574,11.493802488818247,11.2543482703012,11.289822969340763,112400
2000-03-10,11.564746856689453,11.564746856689453,11.768726287443945,11.458322805861023,11.458322805861023,27700
