Price,Close,High,Low,Open,Volume
Ticker,XLRE,XLRE,XLRE,XLRE,XLRE
Date,,,,,
2015-10-08,21.775785446166992,21.775785446166992,21.775785446166992,21.63162350307501,21.63162350307501,2000
2015-10-09,21.739749908447266,21.739749908447266,21.768583128078333,21.66766823421318,21.768583128078333,4300
2015-10-12,21.876707077026367,21.876707077026367,21.927163841438325,21.819042007006455,21.927163841438325,2300
2015-10-13,21.739749908447266,21.739749908447266,21.739749908447266,21.739749908447266,21.739749908447266,500
2015-10-14,21.739749908447266,21.739749908447266,21.739749908447266,21.739749908447266,21.739749908447266,0
2015-10-15,21.674877166748047,21.674877166748047,21.674877166748047,21.646045321125694,21.646045321125694,2500
2015-10-16,22.08718490600586,22.08718490600586,22.100159306312282,22.054027799701945,22.054027799701945,400
2015-10-19,22.34523582458496,22.34523582458496,22.352444130154783,22.128992156865174,22.128992156865174,2000
2015-10-20,22.366857528686523,22.366857528686523,22.604726078950122,22.33802431054863,22.604726078950122,3200
2015-10-21,22.38487434387207,22.38487434387207,22.38487434387207,22.38487434387207,22.38487434387207,400
2015-10-22,22.668153762817383,22.668153762817383,22.678965530541692,22.47281327682991,22.474975905343435,2200
2015-10-23,22.395692825317383,22.395692825317383,22.395692825317383,22.30198760160723,22.38343884320361,3500
2015-10-26,22.424522399902344,22.424522399902344,22.431730704375674,22.365415128127143,22.365415128127143,600
2015-10-27,22.430288314819336,22.430288314819336,22.43173052563991,22.345232247492675,22.388480699144548,3400
2015-10-28,22.348833084106445,22.348833084106445,22.583098138121738,22.348833084106445,22.518224780851146,3200
2015-10-29,22.450469970703125,22.450469970703125,22.450469970703125,22.352439509935007,22.366856118094752,3900
2015-10-30,22.309194564819336,22.309194564819336,22.309194564819336,22.309194564819336,22.309194564819336,200
2015-11-02,22.309194564819336,22.309194564819336,22.309194564819336,22.309194564819336,22.309194564819336,100
2015-11-03,22.597518920898438,22.597518920898438,22.777722418872358,22.575894006197878,22.777722418872358,500
2015-11-04,22.50381088256836,22.50381088256836,22.720055891114868,22.50381088256836,22.720055891114868,1900
2015-11-05,22.417314529418945,22.417314529418945,22.547061262763716,22.30919270991281,22.547061262763716,23800
2015-11-06,21.58837890625,21.58837890625,21.89832775783266,21.58837890625,21.89832775783266,9000
2015-11-09,21.415380477905273,21.415380477905273,21.699381882661545,21.33609188317371,21.667665619862866,45500
2015-11-10,21.64604377746582,21.64604377746582,21.703708839441838,21.516297044308907,21.703708839441838,27200
2015-11-11,21.72100830078125,21.72100830078125,21.81183046323942,21.617210365248898,21.700103805168528,27100
2015-11-12,21.58837890625,21.58837890625,21.682084117222704,21.523505539098306,21.523505539098306,63900
2015-11-13,21.307266235351562,21.307266235351562,21.530719615370955,21.304383187680973,21.49467808237884,47700
2015-11-16,21.285633087158203,21.285633087158203,21.35050644243179,21.285633087158203,21.285633087158203,4200
2015-11-17,21.617212295532227,21.617212295532227,21.754167344292966,21.573963839287018,21.6244206007137,25700
2015-11-18,21.873096466064453,21.873096466064453,21.873096466064453,19.245730945683437,21.36492274094579,28600
2015-11-19,21.992034912109375,21.992034912109375,22.020866756675645,21.919953238428345,21.919953238428345,3500
2015-11-20,22.172237396240234,22.172237396240234,22.179445700763477,22.13619587362402,22.13619587362402,600
2015-11-23,22.287565231323242,22.287565231323242,22.353879426380956,22.287565231323242,22.323605375396777,2400
2015-11-24,21.94878578186035,21.94878578186035,22.359649521891825,21.94878578186035,22.359649521891825,2500
2015-11-25,21.94878578186035,21.94878578186035,21.94878578186035,21.94878578186035,21.94878578186035,0
2015-11-27,22.114574432373047,22.114574432373047,22.114574432373047,22.114574432373047,22.114574432373047,0
2015-11-30,22.16502571105957,22.16502571105957,22.345229172125094,22.144843011410202,22.345229172125094,1600
2015-12-01,22.531919479370117,22.531919479370117,22.531919479370117,22.330811535199263,22.330811535199263,5600
2015-12-02,22.071321487426758,22.071321487426758,22.503808713139836,22.071321487426758,22.424520121675563,4400
2015-12-03,21.631624221801758,21.631624221801758,21.8911176527698,21.631624221801758,21.8911176527698,800
2015-12-04,22.071321487426758,22.071321487426758,22.222691741457663,21.847868195985857,21.847868195985857,4400
2015-12-07,22.071321487426758,22.071321487426758,22.071321487426758,22.071321487426758,22.071321487426758,0
2015-12-08,22.143400192260742,22.143400192260742,22.172233405163638,21.566749682635432,21.826243099388453,4600
2015-12-09,22.0208683013916,22.0208683013916,22.0208683013916,21.992036454802843,21.992036454802843,600
2015-12-10,21.840656280517578,21.840656280517578,21.840656280517578,21.840656280517578,21.840656280517578,700
2015-12-11,21.723888397216797,21.723888397216797,21.754162447257876,21.723888397216797,21.754162447257876,300
2015-12-14,21.790931701660156,21.790931701660156,21.819043132590764,21.689296374641753,21.696504680621565,600
2015-12-15,22.0424861907959,22.0424861907959,22.193857805374805,22.0424861907959,22.145562312355413,4100
2015-12-16,22.438936233520508,22.438936233520508,22.438936233520508,22.244317524261383,22.244317524261383,1600
2015-12-17,22.410104751586914,22.410104751586914,22.67680513051318,22.387039003248137,22.67680513051318,2400
2015-12-18,22.118593215942383,22.118593215942383,22.293501197575328,22.118593215942383,22.273823719505916,1400
2015-12-21,22.155031204223633,22.155031204223633,22.19584292639672,22.155031204223633,22.19584292639672,500
2015-12-22,22.35909080505371,22.35909080505371,22.35909080505371,22.35909080505371,22.35909080505371,200
2015-12-23,22.577726364135742,22.577726364135742,22.577726364135742,22.410106389790403,22.410106389790403,4500
2015-12-24,22.599594116210938,22.599594116210938,22.599594116210938,22.48736185903128,22.48736185903128,300
2015-12-28,22.539100646972656,22.539100646972656,22.61416585885276,22.533999181701,22.61416585885276,2100
2015-12-29,22.912961959838867,22.912961959838867,22.949400592069434,22.77449265528223,22.77449265528223,3500
2015-12-30,22.912961959838867,22.912961959838867,23.02227924657528,22.912961959838867,23.007703237665165,2000
2015-12-31,22.726396560668945,22.726396560668945,22.876525584249567,22.726396560668945,22.82551093497678,36800
2016-01-04,22.198760986328125,22.198760986328125,22.577729017241865,22.12661207873708,22.577729017241865,1900
2016-01-05,22.87142562866211,22.87142562866211,22.87142562866211,22.54128715369877,22.54128715369877,1500
2016-01-06,22.65060806274414,22.65060806274414,22.727130053857422,22.461124044240833,22.461124044240833,3700
2016-01-07,22.235198974609375,22.235198974609375,22.410106959684427,22.233012433664733,22.38897271396141,1500
2016-01-08,21.94368553161621,21.94368553161621,22.241757071035998,21.921821512348963,22.23519883828739,4000
2016-01-11,22.074872970581055,22.074872970581055,22.074872970581055,22.074872970581055,22.074872970581055,500
2016-01-12,21.83436393737793,21.83436393737793,21.943682629209917,21.83436393737793,21.89266798104561,2300
2016-01-13,21.608444213867188,21.608444213867188,22.074866895178822,21.608444213867188,22.03842686302044,3300
2016-01-14,21.68132209777832,21.68132209777832,21.738166599810082,21.499126113763374,21.738166599810082,3700
2016-01-15,21.316930770874023,21.316930770874023,21.35336941275492,21.241137172522084,21.241137172522084,1400
2016-01-19,21.462688446044922,21.462688446044922,21.506415094978355,21.39345307935145,21.506415094978355,4700
2016-01-20,20.886943817138672,20.886943817138672,21.054563759296194,20.493401283810368,20.886943817138672,4600
2016-01-21,21.047283172607422,21.047283172607422,21.047283172607422,21.047283172607422,21.047283172607422,100
2016-01-22,21.484546661376953,21.484546661376953,21.484546661376953,21.467785500919444,21.473615348900765,300
2016-01-25,21.484546661376953,21.484546661376953,21.484546661376953,21.484546661376953,21.484546661376953,0
2016-01-26,21.675495147705078,21.675495147705078,21.758576761054645,21.56471966323899,21.56471966323899,500
2016-01-27,21.484546661376953,21.484546661376953,21.484546661376953,21.484546661376953,21.484546661376953,900
2016-01-28,21.2513427734375,21.2513427734375,21.49184145418451,21.2513427734375,21.48455344688366,1700
2016-01-29,21.273204803466797,21.273204803466797,21.28049281008525,21.142023464424916,21.142023464424916,600
2016-02-01,21.725046157836914,21.725046157836914,21.725046157836914,21.577103681413814,21.577103681413814,700
2016-02-02,21.44811248779297,21.44811248779297,21.63030848053325,21.44811248779297,21.63030848053325,1100
2016-02-03,21.469968795776367,21.469968795776367,21.6303021118089,21.16898241659302,21.6303021118089,3800
