epoch,log_std_BND,log_std_EMB,log_std_SHV,log_std_GLD,log_std_DBC,log_std_IWM
1,-0.5125569105148315,-0.5088352560997009,-0.5115770101547241,-0.5085151195526123,-0.5122667551040649,-0.5112231969833374
2,-0.5151533484458923,-0.5071792006492615,-0.5105654001235962,-0.508347749710083,-0.5151329636573792,-0.510492205619812
3,-0.5144405364990234,-0.5068070888519287,-0.5112096667289734,-0.5092038512229919,-0.5172156095504761,-0.5070512294769287
4,-0.5168253183364868,-0.5066156387329102,-0.5119234323501587,-0.5074511766433716,-0.5167391896247864,-0.5081123113632202
5,-0.5195015668869019,-0.5050467252731323,-0.5074316263198853,-0.5067474246025085,-0.5187296867370605,-0.511186957359314
6,-0.5200931429862976,-0.50742506980896,-0.5043708682060242,-0.5077888369560242,-0.5195447206497192,-0.513283371925354
7,-0.5201910138130188,-0.5122615694999695,-0.501888632774353,-0.5086387395858765,-0.5210758447647095,-0.5131855607032776
8,-0.5199903845787048,-0.5132254362106323,-0.5023207068443298,-0.5096887350082397,-0.520950198173523,-0.5145202875137329
9,-0.5210921168327332,-0.5115315914154053,-0.5020472407341003,-0.5107076168060303,-0.5235121846199036,-0.5142568349838257
10,-0.5253018140792847,-0.5115166902542114,-0.5007708072662354,-0.5112088918685913,-0.5243794918060303,-0.5147517919540405
11,-0.5277289748191833,-0.5136731863021851,-0.4975997507572174,-0.5109925866127014,-0.5282310843467712,-0.5148234963417053
12,-0.5285766124725342,-0.5141563415527344,-0.497462660074234,-0.5117048621177673,-0.5305821895599365,-0.5119634866714478
13,-0.5265211462974548,-0.5108048319816589,-0.49761539697647095,-0.5122249126434326,-0.5288907289505005,-0.5073258876800537
14,-0.5227271318435669,-0.5082646608352661,-0.49760890007019043,-0.5141017436981201,-0.5271410942077637,-0.5072206854820251
15,-0.5244287848472595,-0.5048291087150574,-0.4972367286682129,-0.5132603049278259,-0.5269445180892944,-0.5083844065666199
16,-0.5252417922019958,-0.5045153498649597,-0.49759599566459656,-0.5112247467041016,-0.526187539100647,-0.5083638429641724
17,-0.5210524201393127,-0.5059958100318909,-0.49643805623054504,-0.5091713070869446,-0.5266985297203064,-0.5100284218788147
18,-0.5203232765197754,-0.5067482590675354,-0.49756836891174316,-0.5064377188682556,-0.5263546705245972,-0.5101589560508728
19,-0.5206258893013,-0.5057092905044556,-0.49808967113494873,-0.5058253407478333,-0.5240084528923035,-0.5098831653594971
20,-0.516579270362854,-0.5025115609169006,-0.4982680380344391,-0.5050936937332153,-0.5245599746704102,-0.5087378025054932
21,-0.5162461996078491,-0.4981191158294678,-0.4944784641265869,-0.5033743381500244,-0.5258325934410095,-0.5119454860687256
22,-0.513756513595581,-0.497283935546875,-0.49302905797958374,-0.5025486946105957,-0.5270077586174011,-0.5121163129806519
23,-0.5121824145317078,-0.4962694048881531,-0.4958515465259552,-0.5004572868347168,-0.525297999382019,-0.507975697517395
24,-0.5149487853050232,-0.4951474070549011,-0.4974127411842346,-0.5034712553024292,-0.5286417007446289,-0.5079283118247986
25,-0.5173130631446838,-0.4968827962875366,-0.4987148642539978,-0.504940927028656,-0.5327576398849487,-0.5067469477653503
26,-0.5172690153121948,-0.4961039423942566,-0.49759119749069214,-0.505450427532196,-0.532024621963501,-0.5067124366760254
27,-0.51917964220047,-0.49713340401649475,-0.4986315369606018,-0.4995774030685425,-0.5293703675270081,-0.5079804062843323
28,-0.520037055015564,-0.4995870888233185,-0.5026893019676208,-0.5003669261932373,-0.5303381085395813,-0.5068058967590332
29,-0.5212347507476807,-0.49719277024269104,-0.5054856538772583,-0.4999295175075531,-0.5335544347763062,-0.5061019062995911
30,-0.522881805896759,-0.4972986876964569,-0.5050416588783264,-0.49639055132865906,-0.5331957340240479,-0.5066695213317871
31,-0.5220731496810913,-0.4988718628883362,-0.5055050849914551,-0.4971499443054199,-0.5369892120361328,-0.505643367767334
32,-0.5217658281326294,-0.5017349123954773,-0.5027923583984375,-0.4974913001060486,-0.5357788801193237,-0.5067107081413269
33,-0.5216830372810364,-0.5026064515113831,-0.5031305551528931,-0.498873233795166,-0.5371963977813721,-0.5074771046638489
34,-0.5196475982666016,-0.5015400648117065,-0.5044229030609131,-0.49693563580513,-0.537444531917572,-0.5073226690292358
35,-0.5204045176506042,-0.500633716583252,-0.5033092498779297,-0.4995443522930145,-0.5420114398002625,-0.506982147693634
36,-0.5199018716812134,-0.5002248287200928,-0.5029144287109375,-0.5013004541397095,-0.5452855229377747,-0.5079764723777771
37,-0.5184401869773865,-0.5002185702323914,-0.5037218928337097,-0.501174807548523,-0.5471264123916626,-0.506009578704834
38,-0.5219373106956482,-0.4987868666648865,-0.5082217454910278,-0.5011706948280334,-0.5486078858375549,-0.5068763494491577
39,-0.5212352871894836,-0.5001519322395325,-0.5101842880249023,-0.5036847591400146,-0.545780599117279,-0.5073568224906921
40,-0.5206999182701111,-0.498213529586792,-0.5095174312591553,-0.5033020377159119,-0.5466509461402893,-0.5074812173843384
41,-0.5210473537445068,-0.5022865533828735,-0.5103068947792053,-0.5033795833587646,-0.5472033023834229,-0.506722629070282
42,-0.5243822336196899,-0.5008140802383423,-0.5146718621253967,-0.5053464770317078,-0.5474641919136047,-0.5025185942649841
43,-0.5243321657180786,-0.500688910484314,-0.5149253010749817,-0.5060021281242371,-0.5458106398582458,-0.5020728707313538
44,-0.5244064331054688,-0.4998101592063904,-0.5135526061058044,-0.5064418315887451,-0.5473636388778687,-0.4978475570678711
45,-0.5220986604690552,-0.4996759593486786,-0.5138092637062073,-0.5041049718856812,-0.5486897826194763,-0.4995134472846985
46,-0.5239232778549194,-0.5003878474235535,-0.5118592977523804,-0.5024975538253784,-0.5490019917488098,-0.5004982352256775
47,-0.5239266157150269,-0.5005794167518616,-0.5117142200469971,-0.503748893737793,-0.5502713918685913,-0.4977285861968994
48,-0.5217116475105286,-0.5016472935676575,-0.5125715732574463,-0.5052452087402344,-0.5513058304786682,-0.4987030029296875
49,-0.5205345749855042,-0.5043249726295471,-0.5105324983596802,-0.5084439516067505,-0.5524691939353943,-0.4990360140800476
50,-0.518812894821167,-0.505635678768158,-0.512017548084259,-0.5127991437911987,-0.5526768565177917,-0.4991016387939453
51,-0.5180084109306335,-0.5088286995887756,-0.5111590027809143,-0.5147064328193665,-0.5504260063171387,-0.5035569071769714
52,-0.5144949555397034,-0.5115079283714294,-0.5105617642402649,-0.512748122215271,-0.5511362552642822,-0.503774106502533
53,-0.5145003199577332,-0.5114005208015442,-0.5088900327682495,-0.5133222341537476,-0.5518437027931213,-0.5036545991897583
54,-0.5137861967086792,-0.511692464351654,-0.5073003768920898,-0.5152902007102966,-0.5510144829750061,-0.5066937208175659
55,-0.5143890976905823,-0.5095478892326355,-0.5073473453521729,-0.5145117044448853,-0.5517279505729675,-0.5070470571517944
56,-0.5179967880249023,-0.5070949196815491,-0.5050808191299438,-0.5095952153205872,-0.5468157529830933,-0.5117812156677246
57,-0.5190179347991943,-0.5093491673469543,-0.5048321485519409,-0.5084137320518494,-0.5473303198814392,-0.5134141445159912
58,-0.5211327075958252,-0.5091123580932617,-0.5060385465621948,-0.5082760453224182,-0.5438544750213623,-0.5146023631095886
59,-0.5215705037117004,-0.5085376501083374,-0.5041370987892151,-0.5103272795677185,-0.5460120439529419,-0.5120601654052734
60,-0.5221841931343079,-0.5112217664718628,-0.5040926933288574,-0.5120457410812378,-0.5466881394386292,-0.5111270546913147
61,-0.5247567892074585,-0.5118242502212524,-0.5052391290664673,-0.513691246509552,-0.5449353456497192,-0.5093559622764587
62,-0.5268272161483765,-0.5133620500564575,-0.5042354464530945,-0.5142090916633606,-0.5438486337661743,-0.5100361704826355
63,-0.5268742442131042,-0.5123888254165649,-0.5034737586975098,-0.5141875147819519,-0.5425546169281006,-0.5100651979446411
64,-0.5240399837493896,-0.5124548673629761,-0.502723217010498,-0.515047013759613,-0.5412859320640564,-0.5096607208251953
65,-0.5259912014007568,-0.5140012502670288,-0.5004384517669678,-0.5175527334213257,-0.5429949760437012,-0.5093488693237305
66,-0.5223826169967651,-0.5112320184707642,-0.4985674023628235,-0.5176108479499817,-0.5430668592453003,-0.5091661214828491
67,-0.519938588142395,-0.5097568035125732,-0.49750760197639465,-0.5180387496948242,-0.5407702922821045,-0.5077571868896484
68,-0.5200679898262024,-0.5098472833633423,-0.49857547879219055,-0.5170183181762695,-0.5411654710769653,-0.5082128643989563
69,-0.5204907059669495,-0.5079948306083679,-0.4973779022693634,-0.5203081369400024,-0.5418751835823059,-0.5075451731681824
70,-0.520695149898529,-0.5058773159980774,-0.4998196065425873,-0.5197466015815735,-0.5454796552658081,-0.5127720236778259
71,-0.523469865322113,-0.5042902231216431,-0.5043919682502747,-0.5175718069076538,-0.5509224534034729,-0.5124114751815796
72,-0.5258204340934753,-0.5039598345756531,-0.5052140951156616,-0.5214293599128723,-0.5502570271492004,-0.512468695640564
73,-0.5248545408248901,-0.5053033828735352,-0.5056234002113342,-0.5233935117721558,-0.5483883023262024,-0.5112241506576538
74,-0.5240885615348816,-0.5048343539237976,-0.505346417427063,-0.5240194797515869,-0.5486730337142944,-0.5111020803451538
75,-0.5232821106910706,-0.5051484704017639,-0.5055394768714905,-0.5227477550506592,-0.5493184328079224,-0.5107201933860779
76,-0.5240084528923035,-0.5097138285636902,-0.5054455995559692,-0.5237227082252502,-0.5483667850494385,-0.5138723850250244
77,-0.5228519439697266,-0.5096850395202637,-0.5052708387374878,-0.5250244140625,-0.5467972159385681,-0.5160833597183228
78,-0.5230081677436829,-0.5102110505104065,-0.5074043273925781,-0.5263863205909729,-0.5456755757331848,-0.5180856585502625
79,-0.5223836302757263,-0.5102301239967346,-0.5061687231063843,-0.5263522267341614,-0.5464557409286499,-0.5184682607650757
80,-0.5192452669143677,-0.5114166140556335,-0.5039492845535278,-0.5260317325592041,-0.5473259687423706,-0.5196835398674011
