epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
1,1,0,-0.0728475,1.1086676,0.08076367
1,1,1,1.7668055,0.94304776,-1.666182
1,1,2,1.4751366,1.2004155,-1.770164
1,1,3,1.8654765,1.2713885,-2.238572
1,1,4,0.8846999,1.2027234,-1.0616399
1,1,5,0.77058464,1.1348917,-0.87453014
1,1,6,0.45620203,1.1578411,-0.52820945
1,1,7,1.096778,0.8440585,-0.92574483
1,1,8,0.39522508,1.1780509,-0.46559525
1,1,9,0.38961884,0.8142,-0.31722766
1,1,10,0.09574123,1.0432631,-0.09988329
1,1,11,0.82165956,1.2086312,-0.98599154
1,1,12,1.1655777,1.2764776,-1.3986932
1,1,13,0.6773558,1.2047564,-0.81282705
1,1,14,0.88895667,1.2398857,-1.066748
1,1,15,0.027917894,0.77285653,-0.021576526
1,1,16,0.4094507,0.7773445,-0.31828427
1,1,17,0.59642434,1.0834895,-0.64621955
1,1,18,1.517379,1.3543541,-1.8208549
1,1,19,1.2797812,1.0365503,-1.3265576
1,1,20,0.67871153,1.2222042,-0.8144539
1,1,21,-0.108892374,0.94150823,0.102523066
1,1,22,-0.71821517,0.8102455,0.58193064
1,1,23,-1.0375056,0.98155576,1.0183697
1,1,24,-1.4639871,0.58896494,1.1711897
1,1,25,-1.431343,0.79456633,1.1450744
1,1,26,-1.4795741,0.7245313,1.1836593
1,1,27,-1.4365501,0.7503497,1.1492401
1,1,28,-1.2522289,0.6256563,1.0017831
1,1,29,-0.44769895,0.7423428,0.35815915
1,1,30,-0.5390098,0.69776505,0.43120787
1,1,31,-0.5760045,0.8469474,0.4878455
1,1,32,-0.8634745,1.047028,0.90408194
1,1,33,-1.2842882,0.6960535,1.0274305
1,1,34,-1.2705406,0.74816513,1.0164325
1,1,35,-1.0547837,1.1226516,1.1841546
1,1,36,-0.70719767,1.0201522,0.72144926
1,1,37,-0.4474632,0.8395465,0.37566617
1,1,38,-0.3436739,0.78994936,0.27493915
1,1,39,-0.724205,0.69354963,0.579364
2,2,0,-1.4910163,0.53929955,1.192813
2,2,1,-1.8451433,0.4176316,1.4761146
2,2,2,-1.6339892,0.7908982,1.3071914
2,2,3,-1.6884658,0.7884399,1.3507727
2,2,4,-2.021438,0.6966733,1.6171503
2,2,5,-1.1878096,0.80004805,0.95030475
2,2,6,-0.5880339,1.1162745,0.65640724
2,2,7,-1.1310018,0.42001534,0.9048015
2,2,8,-1.1250536,0.6095623,0.90004295
2,2,9,-1.0626148,0.8307202,0.88273555
2,2,10,-1.2652204,0.79710835,1.0121764
2,2,11,-0.9502418,0.94211334,0.8952355
2,2,12,-0.47354987,0.66113615,0.3788399
2,2,13,0.4877612,1.1169955,-0.54482704
2,2,14,0.65925825,1.4524738,-0.7911099
2,2,15,0.9398269,0.9321123,-0.8760242
2,2,16,-0.0892849,1.2473813,0.111372314
2,2,17,-0.093032025,0.70268244,0.07442562
2,2,18,0.28042006,1.3905356,-0.3365041
2,2,19,0.4097498,2.156795,-0.49169978
2,2,20,0.30518183,0.7747391,-0.23643629
2,2,21,0.32270637,1.5682071,-0.38724765
2,2,22,1.1124359,1.0798756,-1.2012924
2,2,23,0.7333275,1.0975082,-0.80483294
2,2,24,1.2750497,1.2133026,-1.5300597
2,2,25,1.254179,1.7572956,-1.5050149
2,2,26,0.88462275,1.1992209,-1.0608581
2,2,27,0.47979262,1.132672,-0.5434477
2,2,28,-0.092001,0.74094015,0.0736008
2,2,29,0.16002028,0.9781357,-0.15652154
2,2,30,0.24652226,1.1305094,-0.27869573
2,2,31,0.44014737,1.2124565,-0.52817684
2,2,32,0.07049106,1.4616051,-0.08458927
2,2,33,0.5783313,0.9816878,-0.56774074
2,2,34,0.5877177,1.1543388,-0.6784254
2,2,35,1.2956619,1.087054,-1.4084545
2,2,36,1.4843987,0.93816614,-1.3926126
2,2,37,1.3266038,2.1835907,-1.5919245
2,2,38,0.7397605,1.3272475,-0.88771266
2,2,39,0.66392505,1.0467135,-0.6949393
3,3,0,1.291019,1.1929307,-1.5400962
3,3,1,1.3095319,1.1918135,-1.5607178
3,3,2,1.3696142,1.0696279,-1.4649776
3,3,3,0.83160406,1.1876081,-0.98761976
3,3,4,1.1394197,1.4187771,-1.3673036
3,3,5,1.3119622,1.4237509,-1.5743548
3,3,6,1.3645085,1.1955582,-1.6313493
3,3,7,1.3247823,0.97246313,-1.288302
3,3,8,1.3211733,0.9961883,-1.3161373
3,3,9,0.66295034,1.0606195,-0.70313805
3,3,10,0.20558265,1.2300357,-0.24669918
3,3,11,0.22469717,1.2406706,-0.26963663
3,3,12,0.06308494,0.9796604,-0.061801814
3,3,13,0.09119513,0.7458516,-0.068018034
3,3,14,-0.015039096,1.0812485,0.016261
3,3,15,-0.21850567,0.86264974,0.18849386
3,3,16,0.03444736,1.2042935,-0.041336834
3,3,17,0.37649506,0.8725995,-0.3285294
3,3,18,-0.052080616,0.9167375,0.047744256
3,3,19,-0.12091207,0.82705534,0.10000097
3,3,20,-0.2808801,1.0023211,0.28153205
3,3,21,0.53369886,0.8071546,-0.4307775
3,3,22,1.1671947,1.2342012,-1.4006337
3,3,23,1.0915933,1.1828461,-1.2911868
3,3,24,0.35847962,1.5690157,-0.43017557
3,3,25,0.16706608,0.6865398,-0.114697516
3,3,26,-0.06775801,0.71861976,0.05420641
3,3,27,-0.2828558,0.28735787,0.22628465
3,3,28,-0.474582,0.6196789,0.37966558
3,3,29,-0.86496586,0.79512936,0.6919727
3,3,30,-0.9900255,0.42125547,0.79202044
3,3,31,-1.4128232,0.6095047,1.1302586
3,3,32,-1.1654942,0.6734565,0.9323954
3,3,33,-1.2957397,0.46507934,1.0365918
3,3,34,-1.5500288,0.64923185,1.240023
3,3,35,-1.7697269,0.578587,1.4157815
3,3,36,-1.3752112,0.46030408,1.1001691
3,3,37,-1.139612,0.2934721,0.9116896
3,3,38,-1.7254398,0.6516635,1.3803519
3,3,39,-1.4384216,0.81165284,1.167499
4,4,0,0.7384113,1.2846807,-0.8860936
4,4,1,1.5532542,0.82161224,-1.2761728
4,4,2,0.878611,1.205809,-1.0543333
4,4,3,1.0152384,1.3244184,-1.2182862
4,4,4,0.47216284,1.3207039,-0.56659544
4,4,5,0.33709392,0.86260897,-0.29078025
4,4,6,0.4164508,1.0353901,-0.43118906
4,4,7,0.11610209,1.5746243,-0.13932252
4,4,8,0.4744134,0.76658916,-0.36368015
4,4,9,-0.17891791,1.0243852,0.18328087
