epoch,log_std_BND,log_std_EMB,log_std_SHV,log_std_GLD,log_std_DBC,log_std_IWM
1,-0.5128976702690125,-0.5131467580795288,-0.5107935070991516,-0.5112886428833008,-0.5109270215034485,-0.5124303698539734
2,-0.5103209614753723,-0.5115300416946411,-0.5106821060180664,-0.5144049525260925,-0.5146925449371338,-0.5101820230484009
3,-0.5080740451812744,-0.5127748250961304,-0.5119999647140503,-0.5131126642227173,-0.515212893486023,-0.5127082467079163
4,-0.5084923505783081,-0.5115638375282288,-0.5081151723861694,-0.510925829410553,-0.5155400633811951,-0.5141223073005676
5,-0.5101349353790283,-0.5137557983398438,-0.5087088942527771,-0.5143225193023682,-0.5165625810623169,-0.513496458530426
6,-0.5098683834075928,-0.5137973427772522,-0.5079760551452637,-0.5170323252677917,-0.515113115310669,-0.5136337876319885
7,-0.509880006313324,-0.5124905109405518,-0.5059753656387329,-0.5167149901390076,-0.5131607055664062,-0.5149432420730591
8,-0.5133343935012817,-0.5123175382614136,-0.5059617161750793,-0.5171441435813904,-0.5126380920410156,-0.5161768794059753
9,-0.5086075663566589,-0.5117494463920593,-0.5062505006790161,-0.5193401575088501,-0.514772891998291,-0.5172106623649597
10,-0.5086145401000977,-0.5118553042411804,-0.5053961873054504,-0.5194990634918213,-0.5160600543022156,-0.5168587565422058
11,-0.5086684226989746,-0.5091084241867065,-0.5061033964157104,-0.5198233127593994,-0.5159658789634705,-0.5142478942871094
12,-0.5114670395851135,-0.5041427612304688,-0.5079900622367859,-0.5216538310050964,-0.5160000324249268,-0.5140284299850464
13,-0.5087724328041077,-0.5059708952903748,-0.5114059448242188,-0.519352376461029,-0.5169845223426819,-0.5109013915061951
14,-0.5083406567573547,-0.506364643573761,-0.5111465454101562,-0.5199776291847229,-0.5170503258705139,-0.5101766586303711
15,-0.5117614269256592,-0.5028349161148071,-0.5140526294708252,-0.5202240347862244,-0.5155602097511292,-0.5089886784553528
16,-0.5160709619522095,-0.5063560009002686,-0.5160645246505737,-0.5244041085243225,-0.5151988863945007,-0.5092256665229797
17,-0.5143190622329712,-0.5058749914169312,-0.5169008374214172,-0.5239623188972473,-0.5139709711074829,-0.5070124864578247
18,-0.5144287943840027,-0.5053002834320068,-0.5171763896942139,-0.5237478613853455,-0.514067530632019,-0.507369339466095
19,-0.5143980979919434,-0.5051584243774414,-0.515826404094696,-0.5218603014945984,-0.5100654363632202,-0.5105212926864624
20,-0.5125092267990112,-0.503466784954071,-0.5133471488952637,-0.5219981074333191,-0.5086561441421509,-0.5117811560630798
21,-0.5176735520362854,-0.5060702562332153,-0.5108500719070435,-0.5244209170341492,-0.5094309449195862,-0.5099833011627197
22,-0.5189693570137024,-0.5069121718406677,-0.5111178159713745,-0.5241692662239075,-0.5109976530075073,-0.5114761590957642
23,-0.5187118649482727,-0.5057641267776489,-0.5108810067176819,-0.5257202386856079,-0.5100376009941101,-0.5123489499092102
24,-0.5190549492835999,-0.5071989297866821,-0.5092302560806274,-0.530636727809906,-0.5101255178451538,-0.5104528069496155
25,-0.5198169350624084,-0.5068433880805969,-0.5119881629943848,-0.5296114087104797,-0.5113938450813293,-0.5106099247932434
26,-0.5223519206047058,-0.5029075145721436,-0.5140153765678406,-0.5271215438842773,-0.5112892985343933,-0.5109893083572388
27,-0.5219588875770569,-0.5019440650939941,-0.5139994025230408,-0.5281133055686951,-0.5126968622207642,-0.5138068795204163
28,-0.5209334492683411,-0.5029698014259338,-0.5150104761123657,-0.5324040055274963,-0.5083016753196716,-0.5148047804832458
29,-0.5203099250793457,-0.5041322112083435,-0.5160931348800659,-0.530351459980011,-0.5084805488586426,-0.5142313241958618
30,-0.5205884575843811,-0.5009515881538391,-0.5220277905464172,-0.5271505117416382,-0.5083239078521729,-0.510856568813324
31,-0.5213940143585205,-0.5016247034072876,-0.5210564732551575,-0.5285929441452026,-0.5110729336738586,-0.5098488330841064
32,-0.5220624804496765,-0.5017117857933044,-0.5207797288894653,-0.5287274718284607,-0.5101355910301208,-0.5092692971229553
33,-0.5211964845657349,-0.49858805537223816,-0.5207700133323669,-0.5281199812889099,-0.5109252333641052,-0.5090882182121277
34,-0.5263051986694336,-0.5008127093315125,-0.5254018306732178,-0.5253925323486328,-0.5132968425750732,-0.5112666487693787
35,-0.5279574394226074,-0.5013766884803772,-0.523853063583374,-0.5260985493659973,-0.5145756006240845,-0.5127186179161072
36,-0.5258300304412842,-0.5015009045600891,-0.5236502885818481,-0.5250664353370667,-0.5155643224716187,-0.5112890005111694
37,-0.5256683230400085,-0.5003471970558167,-0.5215715169906616,-0.5248371958732605,-0.5168975591659546,-0.5136352181434631
38,-0.5262102484703064,-0.5009292364120483,-0.5203269124031067,-0.524101197719574,-0.5177580714225769,-0.5138115882873535
39,-0.5276402235031128,-0.502592921257019,-0.5208088159561157,-0.5241209864616394,-0.5185588002204895,-0.5138221979141235
40,-0.5281158089637756,-0.5057411193847656,-0.5187023282051086,-0.5242516994476318,-0.5137876272201538,-0.5114859938621521
41,-0.5273509621620178,-0.5036987066268921,-0.5182806849479675,-0.5227604508399963,-0.5142975449562073,-0.5119165182113647
42,-0.528051495552063,-0.5049586892127991,-0.5187175869941711,-0.5218214988708496,-0.516396701335907,-0.5124529600143433
43,-0.5289483666419983,-0.5055409073829651,-0.5177890658378601,-0.5216373205184937,-0.5166829824447632,-0.5130472779273987
44,-0.5304794907569885,-0.5055683851242065,-0.5173636674880981,-0.5209970474243164,-0.5155743956565857,-0.51378333568573
45,-0.5305913090705872,-0.5030156970024109,-0.5138100981712341,-0.5210644006729126,-0.5153356790542603,-0.5130761861801147
46,-0.5294204950332642,-0.502746045589447,-0.5141796469688416,-0.5207331776618958,-0.5160731673240662,-0.5091349482536316
47,-0.5316287279129028,-0.5023043751716614,-0.5124028325080872,-0.52056884765625,-0.5167527794837952,-0.5073933601379395
48,-0.5327328443527222,-0.5028056502342224,-0.5144030451774597,-0.5172961354255676,-0.5153403878211975,-0.5083903074264526
49,-0.5317867994308472,-0.5012920498847961,-0.5164352059364319,-0.5158601403236389,-0.516392707824707,-0.5052619576454163
50,-0.5275515913963318,-0.5023176670074463,-0.518024742603302,-0.517717719078064,-0.5110265016555786,-0.5068097710609436
51,-0.5264254212379456,-0.5067018866539001,-0.5201531648635864,-0.5119259357452393,-0.5094900131225586,-0.5054969787597656
52,-0.5274044871330261,-0.5067808032035828,-0.5205836296081543,-0.5105556845664978,-0.5088396668434143,-0.5048090815544128
53,-0.5278798937797546,-0.5074139833450317,-0.5218664407730103,-0.5110175609588623,-0.5079243183135986,-0.5046635866165161
54,-0.5278636813163757,-0.5073956847190857,-0.5219038724899292,-0.5098180174827576,-0.5077974200248718,-0.5027058720588684
55,-0.528060793876648,-0.5083839893341064,-0.5212949514389038,-0.507919192314148,-0.5071424245834351,-0.5024420022964478
56,-0.5280627012252808,-0.5089412331581116,-0.5225501656532288,-0.5090447068214417,-0.5050092935562134,-0.5000558495521545
57,-0.5276051759719849,-0.5099976658821106,-0.5204434990882874,-0.5099126696586609,-0.50541090965271,-0.4997764527797699
58,-0.5295886397361755,-0.5096036195755005,-0.5192808508872986,-0.5089553594589233,-0.5055575370788574,-0.5001855492591858
59,-0.5291798114776611,-0.5096661448478699,-0.5193556547164917,-0.5061013698577881,-0.5047808885574341,-0.4998805820941925
60,-0.5285940766334534,-0.5089766383171082,-0.518510103225708,-0.5066505074501038,-0.5035556554794312,-0.5001906156539917
61,-0.5286730527877808,-0.509618878364563,-0.519089937210083,-0.5035219788551331,-0.5043333768844604,-0.49628913402557373
62,-0.5292487740516663,-0.5110307335853577,-0.5175022482872009,-0.5008080005645752,-0.5044363737106323,-0.4947683811187744
63,-0.5284088253974915,-0.5128434300422668,-0.5211439728736877,-0.5002672672271729,-0.5033054351806641,-0.4949910640716553
64,-0.5296670794487,-0.5143728256225586,-0.5217298865318298,-0.49929267168045044,-0.5007604360580444,-0.49593111872673035
65,-0.5284232497215271,-0.5147602558135986,-0.5228795409202576,-0.49972549080848694,-0.5005370378494263,-0.49501168727874756
66,-0.5291115641593933,-0.5138593912124634,-0.5205398797988892,-0.498895525932312,-0.5069991946220398,-0.4936616122722626
67,-0.5305086970329285,-0.5174505114555359,-0.5189027190208435,-0.4979628324508667,-0.5058630704879761,-0.49832841753959656
68,-0.5306821465492249,-0.5166676640510559,-0.518247127532959,-0.49891602993011475,-0.5068121552467346,-0.4997750520706177
69,-0.5300244092941284,-0.5141189694404602,-0.5188400149345398,-0.49901002645492554,-0.5071266293525696,-0.4994083046913147
70,-0.530805766582489,-0.5130013823509216,-0.5207266211509705,-0.49954766035079956,-0.5078938603401184,-0.49901944398880005
71,-0.5322686433792114,-0.5119947791099548,-0.5276010036468506,-0.5007239580154419,-0.5062696933746338,-0.4982891082763672
72,-0.5343820452690125,-0.5124927759170532,-0.526275634765625,-0.5025771856307983,-0.5047593712806702,-0.499228835105896
73,-0.5361139178276062,-0.5122057199478149,-0.5265317559242249,-0.5033118724822998,-0.5049843192100525,-0.5009493231773376
74,-0.5349693894386292,-0.5158777832984924,-0.5258824229240417,-0.5053187012672424,-0.5041435360908508,-0.49778425693511963
75,-0.5354472994804382,-0.5149388313293457,-0.5249757766723633,-0.5065225958824158,-0.5040048956871033,-0.4947003424167633
76,-0.5363799929618835,-0.5163463354110718,-0.5260129570960999,-0.507175624370575,-0.4993812143802643,-0.495330810546875
77,-0.5350225567817688,-0.5163026452064514,-0.5262079238891602,-0.5072829127311707,-0.4986720681190491,-0.4949604570865631
78,-0.5345599055290222,-0.5165470838546753,-0.5250308513641357,-0.5076983571052551,-0.4975013732910156,-0.4947412312030792
79,-0.5344158411026001,-0.5161998271942139,-0.5265305638313293,-0.5100308060646057,-0.4994712471961975,-0.4911181926727295
80,-0.5338402390480042,-0.5169592499732971,-0.5283746719360352,-0.5132243037223816,-0.49959301948547363,-0.49106699228286743
