epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
1,1,0,-5.598676,0.7652718,4.478941
1,1,1,-0.0075102975,0.9301547,0.0069857384
1,1,2,-0.03029031,1.131989,0.0342883
1,1,3,-0.12808286,1.2314937,0.15773323
1,1,4,-0.14503402,0.85748804,0.124364935
1,1,5,-0.25252643,1.015048,0.25632647
1,1,6,-0.35958472,0.78122175,0.28766778
1,1,7,-0.2887012,1.120597,0.3235177
1,1,8,-0.2510023,0.9677393,0.2429048
1,1,9,-0.41086873,0.81184816,0.33356303
1,1,10,-0.24448602,0.87344456,0.21354498
1,1,11,-0.260065,0.82610226,0.21484028
1,1,12,-0.2334692,0.6417391,0.18677537
1,1,13,-0.29068032,0.79628205,0.23254426
1,1,14,-0.35605127,0.75870186,0.28484103
1,1,15,-0.1789909,0.63543683,0.14319272
1,1,16,0.045562185,0.9818617,-0.044735767
1,1,17,-0.10715464,1.0939403,0.117220774
1,1,18,-0.039998055,0.8822764,0.03528934
1,1,19,0.1252152,1.2461495,-0.15025824
1,1,20,-0.0083632665,1.0425042,0.00871874
1,1,21,-0.000897384,0.7746519,0.0007179072
1,1,22,0.1686468,0.95783305,-0.16153547
1,1,23,0.21177799,1.1601754,-0.24569961
1,1,24,-0.06163904,0.7262099,0.04931123
1,1,25,-0.016796678,1.0644376,0.017879017
1,1,26,0.13682018,0.5993003,-0.08199638
1,1,27,0.2750048,1.0172178,-0.27973977
1,1,28,0.20737723,1.1233051,-0.23294789
1,1,29,0.29887313,0.75281304,-0.22499558
1,1,30,0.5256854,1.2050775,-0.63082254
1,1,31,0.5498124,1.1487287,-0.6315853
1,1,32,0.7652809,1.2009875,-0.9183371
1,1,33,0.80055493,0.97358596,-0.77940905
1,1,34,1.0675968,1.2144637,-1.2811162
1,1,35,0.75828093,1.2721493,-0.90993714
1,1,36,0.7067457,0.68182987,-0.4818803
1,1,37,0.90498114,0.823783,-0.7455081
1,1,38,0.9749138,1.1846546,-1.1549361
1,1,39,0.7477392,1.1956922,-0.8940659
2,2,0,1.6759923,1.2001464,-2.011191
2,2,1,2.2732484,1.199548,-2.7268705
